,Word,Count
754,brine,66
755,syrupy,66
756,pale,66
757,box,66
758,fragrance,66
759,harsh,66
760,papaya,66
761,70,66
762,oh,66
763,stars,65
764,form,65
765,various,65
766,offer,65
767,tree,65
768,rose,65
769,unripe,65
770,html,65
771,bold,65
772,charcoal,65
773,citric,65
774,polished,65
775,cookies,64
776,elements,64
777,works,64
778,distilleries,64
779,core,64
780,direction,64
781,today,64
782,rate,64
783,obvious,64
784,75,64
785,winey,64
786,unusual,64
787,line,64
788,molasses,64
789,whiskybase,64
790,sugars,64
791,legs,63
792,mind,63
793,raw,63
794,use,63
795,return,63
796,cough,63
797,artificial,63
798,market,63
799,ones,63
800,effect,63
801,liked,63
802,17,63
803,comments,63
804,dessert,62
805,set,62
806,remember,62
807,remain,62
808,rest,62
809,looking,62
810,tannic,62
811,sugary,62
812,pts,61
813,friends,61
814,dominates,61
815,orchard,61
816,dominated,61
817,days,61
818,filled,61
819,missing,61
820,pleasure,60
821,minty,60
822,gum,60
823,macallan,60
824,pronounced,60
825,stand,60
826,savoury,60
827,lighter,60
828,loch,60
829,change,59
830,blueberries,59
831,overly,59
832,currant,59
833,batches,59
834,truly,59
835,moment,59
836,glenfarclas,59
837,2013,59
838,beeswax,59
839,non,58
840,diluted,58
841,2014,58
842,whiskys,58
843,velvety,58
844,came,58
845,favorite,58
846,months,58
847,mocha,58
848,disappointing,58
849,strange,58
850,continues,57
851,baking,57
852,fades,57
853,obviously,57
854,cool,57
855,gradually,57
856,throat,57
857,honeyed,57
858,place,57
859,tangerine,57
860,fully,57
861,19,57
862,ham,57
863,sandalwood,57
864,meadow,56
865,plastic,56
866,doubt,56
867,coal,56
868,glendronach,56
869,room,56
870,crisp,56
871,perfume,56
872,55,56
873,ord,56
874,gingerbread,55
875,blossom,55
876,easily,55
877,opening,55
878,fun,55
879,aniseed,55
880,coastal,55
881,juniper,55
882,sticks,55
883,past,55
884,thyme,55
885,2016,55
886,ground,55
887,huge,55
888,whiskylovingpianist,55
889,bowmore,55
890,previous,55
891,limited,55
892,spiced,55
893,kiwi,55
894,auction,55
895,lively,55
896,pipe,55
897,dimensional,54
898,mean,54
899,usual,54
900,performance,54
901,resin,54
902,skin,54
903,develop,54
904,distilled,54
905,prices,54
906,notice,53
907,acid,53
908,needed,53
909,nuttiness,53
910,won,53
911,hit,53
912,scored,53
913,multi,53
914,mildly,53
915,stone,53
916,edges,53
917,fig,53
918,grainy,52
919,arrives,52
920,noble,52
921,nuances,52
922,zesty,52
923,cheese,52
924,pudding,52
925,burn,52
926,making,52
927,softer,52
928,14,52
929,type,52
930,warmth,52
931,surprising,51
932,shame,51
933,official,51
934,totally,51
935,peppermint,51
936,difference,51
937,lavender,51
938,resinous,51
939,soon,51
940,drinks,51
941,currants,51
942,mushrooms,51
943,45,51
944,successful,51
945,solvent,51
946,ila,51
947,daniel,51
948,instead,50
949,wouldn,50
950,slow,50
951,oakiness,50
952,fan,50
953,sensation,50
954,pastry,50
955,minerality,50
956,cognac,50
957,master,50
958,scents,50
959,producer,50
960,general,49
961,leave,49
962,recent,49
963,minimal,49
964,yeast,49
965,says,49
966,particularly,49
967,herbaceous,49
968,fading,49
969,refined,49
970,enjoyed,49
971,maltiness,49
972,traces,49
973,littlemill,49
974,cedar,49
975,caol,49
976,mu,49
977,life,48
978,blood,48
979,punch,48
980,shavings,48
981,distinct,48
982,soy,48
983,whiffs,48
984,biscuit,48
985,herb,48
986,play,48
987,citruses,48
988,filling,48
989,usually,48
990,acidic,47
991,extra,47
992,basic,47
993,known,47
994,linger,47
995,difficult,47
996,benromach,47
997,diageo,47
998,beer,47
999,ends,46
1000,current,46
1001,bark,46
1002,sort,46
1003,soapy,46
1004,breeze,46
1005,pungent,46
1006,rosemary,46
1007,pleasing,46
1008,follow,46
1009,evening,46
1010,lack,46
1011,giving,46
1012,having,46
1013,interplay,46
1014,benriach,46
1015,books,46
1016,finished,46
1017,variety,46
1018,kuala,46
1019,lumpur,46
1020,redbreast,46
1021,vinegar,45
1022,chewing,45
1023,barely,45
1024,personally,45
1025,outstanding,45
1026,chocolaty,45
1027,thank,45
1028,needles,45
1029,chocolatey,45
1030,grains,45
1031,woods,45
1032,believe,44
1033,citrusy,44
1034,chips,44
1035,stands,44
1036,scottish,44
1037,04,44
1038,march,44
1039,tip,44
1040,heavily,44
1041,autumn,44
1042,early,44
1043,onset,44
1044,filtered,44
1045,cola,44
1046,malted,44
1047,bittersweet,44
1048,attack,44
1049,fermented,44
1050,appearance,44
1051,moist,44
1052,2nd,44
1053,48,44
1054,base,43
1055,soap,43
1056,prominent,43
1057,dose,43
1058,complete,43
1059,covered,43
1060,ratio,43
1061,disappointed,43
1062,breathing,43
1063,06,43
1064,gently,43
1065,boiled,43
1066,weird,43
1067,oiliness,43
1068,lomond,43
1069,large,43
1070,proof,43
1071,natural,43
1072,rosebank,43
1073,pe,43
1074,means,42
1075,honeydew,42
1076,fade,42
1077,expectations,42
1078,youth,42
1079,hope,42
1080,turn,42
1081,understand,42
1082,leaf,42
1083,hold,42
1084,spicier,42
1085,keeps,42
1086,rhubarb,42
1087,24,42
1088,serge,42
1089,chalk,42
1090,english,42
1091,bring,42
1092,oils,42
1093,1978,42
1094,blackberry,41
1095,shades,41
1096,home,41
1097,cumin,41
1098,blogspot,41
1099,fennel,41
1100,pineapples,41
1101,sap,41
1102,idea,41
1103,savory,41
1104,1984,41
1105,1981,41
1106,pastries,40
1107,basket,40
1108,speysider,40
1109,affordable,40
1110,incredibly,40
1111,phenolic,40
1112,chill,40
1113,result,40
1114,refreshing,40
1115,volume,40
1116,tannin,40
1117,chemical,40
1118,madeira,40
1119,date,40
1120,floor,40
1121,saltiness,40
1122,distracting,40
1123,sgp,40
1124,gave,39
1125,european,39
1126,fish,39
1127,quick,39
1128,seen,39
1129,toast,39
1130,strongly,39
1131,reduced,39
1132,tangy,39
1133,massive,39
1134,main,39
1135,recommended,39
1136,hidden,39
1137,bite,39
1138,pickled,39
1139,man,39
1140,copper,39
1141,twe,39
1142,expressive,39
1143,layer,39
1144,vol,39
1145,willett,39
1146,piece,38
1147,true,38
1148,rounder,38
1149,death,38
1150,match,38
1151,reason,38
1152,respect,38
1153,trying,38
1154,highly,38
1155,breathe,38
1156,reveals,38
1157,went,38
1158,including,38
1159,happy,38
1160,buying,38
1161,lost,38
1162,finishes,38
1163,ending,38
1164,firm,38
1165,15yo,38
1166,butt,38
1167,remarkable,38
1168,chewy,38
1169,2010,38
1170,spirity,37
1171,sips,37
1172,changes,37
1173,pour,37
1174,grilled,37
1175,seeds,37
1176,chilli,37
1177,leafy,37
1178,shop,37
1179,distant,37
1180,wonder,37
1181,cellar,37
1182,worse,37
1183,incense,37
1184,flaws,37
1185,starting,37
1186,apart,37
1187,matter,37
1188,sniff,37
1189,japan,37
1190,1972,37
1191,1974,37
1192,candies,36
1193,foreground,36
1194,kick,36
1195,shortbread,36
1196,disappears,36
1197,moderate,36
1198,euros,36
1199,took,36
1200,discreet,36
1201,begins,36
1202,miss,36
1203,share,36
1204,buds,36
1205,based,36
1206,changed,36
1207,peels,36
1208,generally,36
1209,glenlivet,36
1210,friendly,36
1211,lagavulin,36
1212,stay,36
1213,remaining,36
1214,straightforward,36
1215,friend,36
1216,selected,36
1217,sparkling,36
1218,influences,36
1219,peppers,36
1220,harmony,36
1221,crushed,36
1222,increasingly,36
1223,layers,36
1224,dalmore,36
1225,disappointment,35
1226,able,35
1227,creaminess,35
1228,aggressive,35
1229,ish,35
1230,traditional,35
1231,unbalanced,35
1232,57,35
1233,face,35
1234,entire,35
1235,emerge,35
1236,comment,35
1237,combined,35
1238,quaffable,35
1239,particular,35
1240,imagine,35
1241,brilliant,35
1242,vegetables,35
1243,vibrant,35
1244,view,35
1245,crème,35
1246,peanuts,35
1247,deanston,35
1248,garden,35
1249,drinker,35
1250,job,35
1251,spring,35
1252,balsamic,35
1253,school,35
1254,wave,35
1255,bourbons,35
1256,blends,35
1257,allspice,35
1258,brora,35
1259,1967,35
1260,burned,34
1261,memory,34
1262,lemony,34
1263,paper,34
1264,product,34
1265,sorry,34
1266,und,34
1267,vegetable,34
1268,alc,34
1269,showing,34
1270,anymore,34
1271,aging,34
1272,mandarin,34
1273,explosion,34
1274,35,34
1275,according,34
1276,salad,34
1277,soil,34
1278,whiskyfun,34
1279,concentrated,34
1280,exceptional,34
1281,mackmyra,34
1282,spey,34
1283,longrow,34
1284,perfumed,33
1285,tiny,33
1286,woodiness,33
1287,grows,33
1288,wee,33
1289,smokey,33
1290,marketing,33
1291,mark,33
1292,help,33
1293,66,33
1294,hours,33
1295,tangerines,33
1296,forget,33
1297,mini,33
1298,discover,33
1299,shoe,33
1300,house,33
1301,collection,33
1302,tell,33
1303,astringency,33
1304,wait,33
1305,blended,33
1306,icing,33
1307,prune,33
1308,spot,33
1309,jelly,33
1310,precious,33
1311,kilchoman,33
1312,delivers,32
1313,pencil,32
1314,characteristics,32
1315,secondary,32
1316,pouring,32
1317,direct,32
1318,sage,32
1319,waves,32
1320,18yo,32
1321,recommend,32
1322,dash,32
1323,seasoned,32
1324,09,32
1325,distinctive,32
1326,1st,32
1327,alongside,32
1328,7th,32
1329,pick,31
1330,stick,31
1331,gummy,31
1332,choice,31
1333,deeper,31
1334,soaked,31
1335,smoother,31
1336,significant,31
1337,characteristic,31
1338,contrast,31
1339,instantly,31
1340,soot,31
1341,tender,31
1342,youthful,31
1343,balblair,31
1344,bouquet,31
1345,fast,31
1346,loses,31
1347,moss,31
1348,nuance,31
1349,arran,31
1350,cane,31
1351,damn,31
1352,eyes,31
1353,spend,31
1354,glenallachie,31
